Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
06/27/25,319.26,7941055,12.78,4.17,4.17,319.26,36.26,308.73,320.00,306.50,36.26
06/26/25,306.48,3652041,-9.28,-2.94,-2.94,306.48,30.81,316.29,317.00,305.08,30.81
06/25/25,315.76,1976297,-7.21,-2.23,-2.23,315.76,34.77,325.17,326.77,311.78,34.77
06/24/25,322.97,2592378,2.89,0.90,0.90,322.97,37.84,325.15,328.20,321.67,37.84
06/23/25,320.08,2660542,0.19,0.06,0.06,320.08,36.61,315.30,323.38,308.33,36.61
06/20/25,319.89,5279431,11.98,3.89,3.89,319.89,36.53,312.70,321.50,308.24,36.53
06/18/25,307.91,3529128,13.93,4.74,4.74,307.91,31.42,291.20,308.70,290.90,31.42
06/17/25,293.98,3388897,3.93,1.35,1.35,293.98,25.47,288.50,295.47,288.50,25.47
06/16/25,290.05,5113552,-6.98,-2.35,-2.35,290.05,23.79,302.06,304.42,283.67,23.79
06/13/25,297.03,6612209,-21.92,-6.87,-6.87,297.03,26.77,306.37,313.00,295.39,26.77
06/12/25,318.95,4742241,-21.37,-6.28,-6.28,318.95,36.13,335.83,337.53,317.75,36.13
06/11/25,340.32,2081807,1.82,0.54,0.54,340.32,45.25,339.43,342.65,333.29,45.25
06/10/25,338.50,2395469,-1.41,-0.41,-0.41,338.50,44.47,342.22,345.10,330.49,44.47
06/09/25,339.91,3361571,-1.55,-0.45,-0.45,339.91,45.07,336.90,342.50,329.01,45.07
06/06/25,341.46,2991707,-1.84,-0.54,-0.54,341.46,45.74,347.78,351.43,339.17,45.74
06/05/25,343.30,3970129,-2.34,-0.68,-0.68,343.30,46.52,344.02,348.67,338.51,46.52
06/04/25,345.64,3682249,5.52,1.62,1.62,345.64,47.52,338.96,347.31,335.09,47.52
06/03/25,340.12,3450868,8.68,2.62,2.62,340.12,45.16,335.00,340.94,332.30,45.16
06/02/25,331.44,3638295,4.28,1.31,1.31,331.44,41.46,326.24,332.00,316.41,41.46
05/30/25,327.16,4461211,7.51,2.35,2.35,327.16,39.63,318.08,327.75,316.19,39.63
05/29/25,319.65,2095843,-0.66,-0.21,-0.21,319.65,36.43,323.57,323.57,315.66,36.43
05/28/25,320.31,3510456,7.40,2.36,2.36,320.31,36.71,316.90,323.13,313.00,36.71
05/27/25,312.91,3109086,8.80,2.89,2.89,312.91,33.55,311.37,313.34,304.79,33.55
05/23/25,304.11,2549419,1.86,0.62,0.62,304.11,29.80,297.50,308.04,295.09,29.80
05/22/25,302.25,3648418,10.16,3.48,3.48,302.25,29.00,291.99,304.39,290.00,29.00
05/21/25,292.09,4024964,-10.20,-3.37,-3.37,292.09,24.66,294.17,298.49,291.30,24.66
05/20/25,302.29,3937121,-2.92,-0.96,-0.96,302.29,29.02,301.90,302.62,293.11,29.02
05/19/25,305.21,3758632,5.32,1.77,1.77,305.21,30.26,294.50,306.98,293.06,30.26
05/16/25,299.89,3677258,2.49,0.84,0.84,299.89,27.99,299.75,304.14,294.22,27.99
05/15/25,297.40,3294648,-8.12,-2.66,-2.66,297.40,26.93,302.64,304.01,293.73,26.93
05/14/25,305.52,6483338,12.46,4.25,4.25,305.52,30.40,297.28,311.88,296.68,30.40
05/13/25,293.06,5888918,13.44,4.81,4.81,293.06,25.08,280.56,299.00,278.49,25.08
05/12/25,279.62,4094088,11.50,4.29,4.29,279.62,19.34,278.52,279.87,267.18,19.34
05/09/25,268.12,8150016,-17.41,-6.10,-6.10,268.12,14.43,281.34,284.23,267.61,14.43
05/08/25,285.53,9215788,26.36,10.17,10.17,285.53,21.87,275.70,293.62,270.00,21.87
05/07/25,259.17,5791848,0.36,0.14,0.14,259.17,10.61,256.78,263.00,255.79,10.61
05/06/25,258.81,3192823,-0.76,-0.29,-0.29,258.81,10.46,255.00,260.97,253.49,10.46
05/05/25,259.57,2131695,2.47,0.96,0.96,259.57,10.79,254.48,262.52,253.82,10.79
05/02/25,257.10,2198093,5.23,2.08,2.08,257.10,9.73,254.40,258.82,250.89,9.73
05/01/25,251.87,4380440,7.52,3.08,3.08,251.87,7.50,248.00,264.17,245.00,7.50
04/30/25,244.35,2672608,0.76,0.31,0.31,244.35,4.29,234.20,244.76,229.40,4.29
04/29/25,243.59,1681167,2.06,0.85,0.85,243.59,3.97,240.74,244.23,237.01,3.97
04/28/25,241.53,2531972,4.38,1.85,1.85,241.53,3.09,239.04,243.43,235.54,3.09
04/25/25,237.15,2948751,2.13,0.91,0.91,237.15,1.22,235.29,242.79,234.36,1.22
04/24/25,235.02,3781930,14.08,6.37,6.37,235.02,0.31,222.62,236.79,220.00,0.31
04/23/25,220.94,5245244,8.99,4.24,4.24,220.94,-5.70,223.69,225.23,213.44,-5.70
04/22/25,211.95,4811637,16.12,8.23,8.23,211.95,-9.54,204.10,220.00,203.50,-9.54
04/21/25,195.83,3391119,-15.58,-7.37,-7.37,195.83,-16.42,209.13,212.19,194.02,-16.42
04/17/25,211.41,2442002,2.11,1.01,1.01,211.41,-9.77,210.22,216.80,208.56,-9.77
04/16/25,209.30,2435953,-4.51,-2.11,-2.11,209.30,-10.67,208.74,212.91,200.52,-10.67
04/15/25,213.81,5224109,9.08,4.44,4.44,213.81,-8.75,209.30,220.50,208.99,-8.75
04/14/25,204.73,2745779,-1.47,-0.71,-0.71,204.73,-12.62,214.41,215.60,197.86,-12.62
04/11/25,206.20,3914863,2.54,1.25,1.25,206.20,-11.99,200.00,206.98,192.56,-11.99
04/10/25,203.66,6469374,-16.78,-7.61,-7.61,203.66,-13.08,203.00,208.98,193.52,-13.08
04/09/25,220.44,10823510,44.12,25.02,25.02,220.44,-5.92,176.48,221.90,173.96,-5.92
04/08/25,176.32,10277880,8.45,5.03,5.03,176.32,-24.75,184.91,197.42,171.78,-24.75
04/07/25,167.87,6916511,5.30,3.26,3.26,167.87,-28.35,149.67,188.30,148.25,-28.35
04/04/25,162.57,11057870,-19.22,-10.57,-10.57,162.57,-30.61,170.00,172.99,154.65,-30.61
04/03/25,181.79,10777620,-44.53,-19.68,-19.68,181.79,-22.41,205.21,211.10,177.22,-22.41
04/02/25,226.32,4671640,13.73,6.46,6.46,226.32,-3.41,207.61,230.76,206.84,-3.41
04/01/25,212.59,2169374,3.51,1.68,1.68,212.59,-9.27,208.30,213.18,202.55,-9.27
03/31/25,209.08,4844493,4.67,2.28,2.28,209.08,-10.76,197.65,213.77,193.50,-10.76
03/28/25,204.41,2716255,0.46,0.23,0.23,204.41,-12.76,203.53,205.68,196.09,-12.76
03/27/25,203.95,5002120,-0.92,-0.45,-0.45,203.95,-12.95,202.22,211.99,195.65,-12.95
03/26/25,204.87,4439024,-16.79,-7.57,-7.57,204.87,-12.56,221.28,222.66,201.84,-12.56
03/25/25,221.66,7071900,8.03,3.76,3.76,221.66,-5.39,221.72,225.80,214.22,-5.39
03/24/25,213.63,5091079,22.68,11.88,11.88,213.63,-8.82,200.29,215.25,199.00,-8.82
03/21/25,190.95,6170639,5.53,2.98,2.98,190.95,-18.50,180.00,194.58,177.78,-18.50
03/20/25,185.42,8333253,9.33,5.30,5.30,185.42,-20.86,180.47,196.63,177.00,-20.86
03/19/25,176.09,5733392,9.57,5.75,5.75,176.09,-24.84,167.81,179.76,161.64,-24.84
03/18/25,166.52,5400842,-19.98,-10.71,-10.71,166.52,-28.93,183.55,186.46,165.55,-28.93
03/17/25,186.50,3269901,5.32,2.94,2.94,186.50,-20.40,178.90,189.59,178.55,-20.40
03/14/25,181.18,5690601,14.51,8.71,8.71,181.18,-22.67,173.97,181.85,172.00,-22.67
03/13/25,166.67,5155973,-12.62,-7.04,-7.04,166.67,-28.86,177.70,178.25,163.61,-28.86
03/12/25,179.29,4396122,7.07,4.11,4.11,179.29,-23.48,183.25,190.71,174.90,-23.48
03/11/25,172.22,5079693,0.61,0.36,0.36,172.22,-26.50,171.72,176.50,166.76,-26.50
03/10/25,171.61,7095657,-16.86,-8.95,-8.95,171.61,-26.76,179.97,183.63,166.25,-26.76
03/07/25,188.47,8350540,1.62,0.87,0.87,188.47,-19.56,186.21,192.00,171.05,-19.56
03/06/25,186.85,6288613,-29.04,-13.45,-13.45,186.85,-20.25,207.11,211.53,186.54,-20.25
03/05/25,215.89,3255673,0.80,0.37,0.37,215.89,-7.86,215.57,216.65,206.47,-7.86
03/04/25,215.09,6891752,-4.36,-1.99,-1.99,215.09,-8.20,211.29,222.75,196.00,-8.20
03/03/25,219.45,4200655,-13.65,-5.86,-5.86,219.45,-6.34,234.50,237.87,217.94,-6.34
02/28/25,233.10,3070725,9.89,4.43,4.43,233.10,-0.51,223.38,233.84,221.40,-0.51
02/27/25,223.21,3021510,-9.42,-4.05,-4.05,223.21,-4.73,233.18,237.99,222.84,-4.73
02/26/25,232.63,4043397,10.95,4.94,4.94,232.63,-0.71,226.37,236.19,226.37,-0.71
02/25/25,221.68,5146108,6.03,2.80,2.80,221.68,-5.39,218.50,225.55,212.33,-5.39
02/24/25,215.65,5809993,-7.65,-3.43,-3.43,215.65,-7.96,222.75,225.67,207.85,-7.96
02/21/25,223.30,6863213,-24.42,-9.86,-9.86,223.30,-4.69,247.09,247.89,223.01,-4.69
02/20/25,247.72,13149170,-34.10,-12.10,-12.10,247.72,5.73,264.89,267.65,234.24,5.73
02/19/25,281.82,7751993,-2.71,-0.95,-0.95,281.82,20.28,283.00,292.84,280.20,20.28
02/18/25,284.53,2966871,-0.80,-0.28,-0.28,284.53,21.44,287.00,291.27,282.81,21.44
02/14/25,285.33,3945798,12.93,4.75,4.75,285.33,21.78,273.50,286.38,272.98,21.78
02/13/25,272.40,1703178,4.47,1.67,1.67,272.40,16.26,268.26,273.37,264.23,16.26
02/12/25,267.93,2134854,-3.22,-1.19,-1.19,267.93,14.35,265.00,270.61,260.80,14.35
02/11/25,271.15,1695685,3.34,1.25,1.25,271.15,15.73,268.55,272.96,265.82,15.73
02/10/25,267.81,2439681,3.74,1.42,1.42,267.81,14.30,264.40,270.18,258.00,14.30
02/07/25,264.07,1692839,0.90,0.34,0.34,264.07,12.71,261.99,265.09,259.58,12.71
02/06/25,263.17,1917058,7.19,2.81,2.81,263.17,12.32,259.10,263.21,254.89,12.32
02/05/25,255.98,1407196,-1.67,-0.65,-0.65,255.98,9.25,257.66,259.00,253.60,9.25
02/04/25,257.65,2485308,6.02,2.39,2.39,257.65,9.97,251.64,259.54,251.54,9.97
02/03/25,251.63,2431913,4.15,1.68,1.68,251.63,7.40,240.97,253.71,240.97,7.40
01/31/25,247.48,3450539,3.54,1.45,1.45,247.48,5.63,250.03,255.99,246.15,5.63
01/30/25,243.94,2207675,-1.52,-0.62,-0.62,243.94,4.11,248.63,252.64,242.30,4.11
01/29/25,245.46,1157398,0.61,0.25,0.25,245.46,4.76,245.01,246.75,241.26,4.76
01/28/25,244.85,1814623,2.70,1.12,1.12,244.85,4.50,240.08,246.00,232.96,4.50
01/27/25,242.15,1677108,1.68,0.70,0.70,242.15,3.35,234.87,248.50,234.03,3.35
01/24/25,240.47,1622000,-2.65,-1.09,-1.09,240.47,2.63,242.90,244.56,239.20,2.63
01/23/25,243.12,1997459,9.07,3.88,3.88,243.12,3.76,232.53,243.48,230.90,3.76
01/22/25,234.05,2226508,1.73,0.74,0.74,234.05,-0.11,238.87,243.61,233.94,-0.11
01/21/25,232.32,1853702,1.83,0.79,0.79,232.32,-0.85,233.33,236.09,228.38,-0.85
01/17/25,230.49,3109034,-1.43,-0.62,-0.62,230.49,-1.63,231.68,233.60,225.17,-1.63
01/16/25,231.92,8036276,17.88,8.35,8.35,231.92,-1.02,218.23,238.00,216.91,-1.02
01/15/25,214.04,4519976,18.85,9.66,9.66,214.04,-8.65,202.31,214.04,199.01,-8.65
01/14/25,195.19,2367770,0.68,0.35,0.35,195.19,-16.69,197.30,199.27,191.66,-16.69
01/13/25,194.51,2926930,1.45,0.75,0.75,194.51,-16.98,189.19,194.60,188.55,-16.98
01/10/25,193.06,3186567,-3.94,-2.00,-2.00,193.06,-17.60,193.00,194.04,186.46,-17.60
01/08/25,197.00,4483691,-1.35,-0.68,-0.68,197.00,-15.92,203.45,203.45,192.53,-15.92
01/07/25,198.35,9119684,9.50,5.03,5.03,198.35,-15.34,199.63,207.08,194.79,-15.34
01/06/25,188.85,9373197,11.69,6.60,6.60,188.85,-19.40,187.97,193.28,179.79,-19.40
01/03/25,177.16,11686600,-22.40,-11.22,-11.22,177.16,-24.39,188.20,197.50,175.42,-24.39
01/02/25,199.56,9449408,-3.80,-1.87,-1.87,199.56,-14.83,200.71,212.89,186.86,-14.83
12/31/24,203.36,3294470,-7.19,-3.41,-3.41,203.36,-13.21,210.02,210.96,199.05,-13.21
12/30/24,210.55,2650248,-4.54,-2.11,-2.11,210.55,-10.14,210.82,212.51,204.31,-10.14
12/27/24,215.09,2264949,-8.97,-4.00,-4.00,215.09,-8.20,219.23,220.60,211.71,-8.20
12/26/24,224.06,1332801,0.17,0.08,0.08,224.06,-4.37,223.15,226.68,220.70,-4.37
12/24/24,223.89,870324,1.29,0.58,0.58,223.89,-4.44,223.35,225.89,222.00,-4.44
12/23/24,222.60,2064808,-1.86,-0.83,-0.83,222.60,-4.99,224.00,225.88,217.98,-4.99
12/20/24,224.46,4877121,1.48,0.66,0.66,224.46,-4.20,221.99,225.09,218.45,-4.20
12/19/24,222.98,4465989,-10.04,-4.31,-4.31,222.98,-4.83,241.75,245.32,221.89,-4.83
12/18/24,233.02,3640330,-20.68,-8.15,-8.15,233.02,-0.55,254.00,257.00,232.22,-0.55
12/17/24,253.70,2202482,-2.06,-0.81,-0.81,253.70,8.28,254.25,256.55,250.75,8.28
12/16/24,255.76,2917682,7.51,3.03,3.03,255.76,9.16,248.09,258.49,248.04,9.16
12/13/24,248.25,1233211,0.48,0.19,0.19,248.25,5.95,247.95,249.42,243.48,5.95
12/12/24,247.77,1685499,-3.18,-1.27,-1.27,247.77,5.75,249.15,251.24,246.72,5.75
12/11/24,250.95,2849443,14.43,6.10,6.10,250.95,7.11,239.00,251.79,237.70,7.11
12/10/24,236.52,2972417,-7.51,-3.08,-3.08,236.52,0.95,241.35,246.78,234.41,0.95
12/09/24,244.03,2424194,-7.18,-2.86,-2.86,244.03,4.15,254.00,257.00,243.85,4.15
12/06/24,251.21,2730660,-4.52,-1.77,-1.77,251.21,7.22,257.99,258.25,246.68,7.22
12/05/24,255.73,1549509,-4.40,-1.69,-1.69,255.73,9.15,258.65,262.60,255.21,9.15
12/04/24,260.13,1708877,4.37,1.71,1.71,260.13,11.02,256.10,260.25,252.40,11.02
12/03/24,255.76,1653462,0.82,0.32,0.32,255.76,9.16,253.00,256.91,251.01,9.16
12/02/24,254.94,2287920,-5.48,-2.10,-2.10,254.94,8.81,261.64,261.76,251.00,8.81
11/29/24,260.42,1441332,5.45,2.14,2.14,260.42,11.15,258.14,262.00,257.06,11.15
11/27/24,254.97,1765866,-1.03,-0.40,-0.40,254.97,8.82,256.08,256.73,247.50,8.82
11/26/24,256.00,1772282,-4.80,-1.84,-1.84,256.00,9.26,258.21,260.82,254.60,9.26
11/25/24,260.80,9523413,1.44,0.56,0.56,260.80,11.31,265.03,268.34,257.92,11.31
11/22/24,259.36,3881454,10.98,4.42,4.42,259.36,10.70,249.02,263.61,249.02,10.70
11/21/24,248.38,1525302,3.88,1.59,1.59,248.38,6.01,244.40,249.71,243.51,6.01
11/20/24,244.50,1798853,-4.93,-1.98,-1.98,244.50,4.35,249.50,254.00,243.76,4.35
11/19/24,249.43,1756738,4.74,1.94,1.94,249.43,6.46,240.51,250.65,240.00,6.46
11/18/24,244.69,1623319,3.69,1.53,1.53,244.69,4.43,242.18,247.14,240.95,4.43
11/15/24,241.00,1986226,0.56,0.23,0.23,241.00,2.86,237.88,242.70,235.20,2.86
11/14/24,240.44,1798125,0.46,0.19,0.19,240.44,2.62,242.22,245.24,239.25,2.62
11/13/24,239.98,1928642,-6.77,-2.74,-2.74,239.98,2.42,249.30,249.30,237.64,2.42
11/12/24,246.75,1930900,-3.31,-1.32,-1.32,246.75,5.31,247.00,250.56,243.29,5.31
11/11/24,250.06,2455808,5.71,2.34,2.34,250.06,6.73,248.00,254.84,246.85,6.73
11/08/24,244.35,1951480,2.92,1.21,1.21,244.35,4.29,241.23,245.93,239.19,4.29
11/07/24,241.43,2348294,2.50,1.05,1.05,241.43,3.04,239.23,244.84,238.46,3.04
11/06/24,238.93,2997470,3.25,1.38,1.38,238.93,1.98,245.00,245.00,233.66,1.98
11/05/24,235.68,2480698,9.60,4.25,4.25,235.68,0.59,231.00,236.36,229.07,0.59
11/04/24,226.08,3892650,-3.00,-1.31,-1.31,226.08,-3.51,226.49,229.18,219.71,-3.51
11/01/24,229.08,5858754,-18.23,-7.37,-7.37,229.08,-2.23,247.31,248.50,228.05,-2.23
10/31/24,247.31,13491150,40.00,19.29,19.29,247.31,5.55,238.20,259.39,233.28,5.55
10/30/24,207.31,5773974,-1.43,-0.69,-0.69,207.31,-11.52,210.38,213.98,207.20,-11.52
10/29/24,208.74,2385832,3.72,1.81,1.81,208.74,-10.91,204.58,209.24,202.70,-10.91
