Date,LogReturn,PredictedVolatility
2020-11-23,0.024369855618361136,0.06879486447699264
2020-11-24,-0.014094193040157244,0.06633949853822466
2020-11-25,0.006064708615566516,0.06401507146872625
2020-11-27,0.04507227075042586,0.061555289671532315
2020-11-30,0.004285577801743656,0.06027259753302724
2020-12-01,0.0036701680803847836,0.05798348294078595
2020-12-02,-0.10787232847298167,0.05580056387445361
2020-12-03,0.010896285322559152,0.06263680633439388
2020-12-04,0.06443705495109153,0.060259483749190115
2020-12-07,0.06293288872938252,0.060353229595813206
2020-12-08,0.009457607690873893,0.06032170131743231
2020-12-09,-0.022599831917241353,0.05804096694561771
2020-12-10,0.019265281770085352,0.05641807484632012
2020-12-11,-0.008520861995338969,0.054448192698338116
2020-12-14,-0.028633419342384947,0.0525758657554313
2020-12-15,0.020000272197682634,0.05155845270548475
2020-12-16,0.019033456598900322,0.04984540857170785
2020-12-17,0.041398162041573094,0.048196256347551515
2020-12-18,-0.021367143281432632,0.04758407761733856
2020-12-21,0.04537890371286135,0.046513681425939035
2020-12-22,0.04533155272588818,0.046286204231749443
2020-12-23,-0.07668665507321837,0.04607305374988912
2020-12-24,0.01729403678937569,0.050206871886315424
2020-12-28,-0.08831276846987457,0.048502459887146264
2020-12-29,-0.003904387430064382,0.05382387001141392
2020-12-30,-0.000678845987934551,0.051898852410239664
2020-12-31,-0.04409957638051676,0.050026334935670096
2021-01-04,-0.013745198643976053,0.05022578182644627
2021-01-05,0.0785602533051728,0.04870759933755863
2021-01-06,-0.01876005335048081,0.05136064365966751
2021-01-07,0.07423895724723639,0.04995836539695566
2021-01-08,0.030188220223153373,0.05197663486131268
2021-01-11,-0.015600149874677172,0.05056461849198848
2021-01-12,0.0508846456227694,0.04908978877197968
2021-01-13,0.0034263795267319708,0.04905697392723847
2021-01-14,0.025246112776996732,0.04729231918563495
2021-01-15,-0.03169327549003409,0.04595677806860602
2021-01-19,-0.04469521119568132,0.045575417183273334
2021-01-20,-0.018793681907347093,0.046225269460673825
2021-01-21,0.009844667751065295,0.04512082331810402
2021-01-22,0.003369843121550531,0.043560558861495575
2021-01-25,-0.0024163444428850767,0.042062164189985214
2021-01-26,-0.042991605690045454,0.04069456704879756
2021-01-27,-0.08802419390776173,0.041672902061640274
2021-01-28,0.0674567236254946,0.04824148127671188
2021-01-29,0.020031605613546333,0.04974902470538047
2021-02-01,0.011609669252345078,0.048128463391760926
2021-02-02,0.06025056030567377,0.046438410214579624
2021-02-03,0.011196658798706238,0.04743503454583639
2021-02-04,0.0025336959748631926,0.04577431019098865
2021-02-05,0.012642481720898324,0.04417146849759886
2021-02-08,3.470354497014938e-05,0.04268891744933005
2021-02-09,0.01634951316840816,0.04125773646718454
2021-02-10,0.01699316498732273,0.039990959367689406
2021-02-11,-0.012122997847409778,0.03880669462096372
2021-02-12,0.005792797241817915,0.03787144192115686
2021-02-16,0.0006753334715563497,0.036654960399718856
2021-02-17,-0.00216267444817575,0.03552669107666818
2021-02-18,-0.0007106479038858637,0.03449924789980552
2021-02-19,0.044169128656415424,0.03350432061540025
2021-02-22,-0.09080521641091543,0.0343367353440666
2021-02-23,-0.00594085808405076,0.04310417097435964
2021-02-24,0.016525207530357022,0.04174903483788112
2021-02-25,-0.07761823745926222,0.04046023339109282
2021-02-26,0.07255172883798355,0.045686655070837606
2021-03-01,0.09553462150653491,0.04804076208110891
2021-03-02,0.009317828599907152,0.05294268126191447
2021-03-03,-0.08865280609473203,0.051003529507658636
2021-03-04,-0.06502684590406727,0.0559522570108224
2021-03-05,-0.031797685797093855,0.057464962266177116
2021-03-08,-0.08100223085460634,0.056306555713453076
2021-03-09,0.07671070767683297,0.059509782812324684
2021-03-10,0.00011519189061814927,0.060741306328004376
2021-03-11,0.0617509959029654,0.058449251908936774
2021-03-12,0.034239592521693396,0.058482081468854294
2021-03-15,-0.007808846473777997,0.056868859627261716
2021-03-16,-0.002851562369505345,0.054863862103676726
2021-03-17,0.009229269097819959,0.05287503446790239
2021-03-18,-0.08553901523350937,0.05093851927171831
2021-03-19,0.024097551579060017,0.055479476013593855
2021-03-22,0.01730720373743022,0.0536741541714269
2021-03-23,0.000912258998843285,0.05179950192175112
2021-03-24,-0.08095192442622867,0.04991809487052965
2021-03-25,0.013786279110034272,0.05401572692841825
2021-03-26,0.010245355063511319,0.052068965198722665
2021-03-29,-0.04054050261128861,0.0501775320904663
2021-03-30,0.02301327690232835,0.0500905193934747
2021-03-31,0.030569221079356446,0.04853276247452352
2021-04-01,0.01106658758742185,0.047334330633664407
2021-04-05,0.007547205635383136,0.04567718344680936
2021-04-06,0.03769737833991105,0.04407577466060388
2021-04-07,-0.037809605487776565,0.04352863399789252
2021-04-08,0.01374719773482802,0.04378777770065852
2021-04-09,0.0011063987851853696,0.042340916654450014
2021-04-12,-0.007473489222390661,0.04091696078849122
2021-04-13,0.02721829592141134,0.03971483968072521
2021-04-14,-0.0242147895754119,0.038902382991536824
2021-04-15,0.042051938706192615,0.03856396440211556
2021-04-16,-0.023708858642881303,0.03874089913729957
2021-04-19,0.00511250411058306,0.038383136176509576
2021-04-20,-0.05146462342538616,0.03714030508927211
2021-04-21,0.020912199314492952,0.03943090971027678
2021-04-22,-0.011890835728197047,0.038389041124247444
2021-04-23,0.047889523143409995,0.037469892096115856
2021-04-26,0.0572483346198025,0.03823431363201984
2021-04-27,0.0012560470122870981,0.03982986992222853
2021-04-28,-0.004317898761351913,0.03853136598545419
2021-04-29,-0.016316937935778597,0.0373831427654309
2021-04-30,-0.012125584106391862,0.03671490590476799
